,city,destination,city_geo,destination_geo,2017_miles,2017_fare,2017_fare_low,carrier_low_2017,2017_cpm,passengers_2017,2016_miles,2016_fare,2016_fare_low,carrier_low_2016,2016_cpm,passengers_2016,cpm_change,fare_change
0,"Boise, ID","Seattle, WA","['(43.597772', ' -83.884521)']","['(47.603229', ' -122.33028)']",399,130.78,$124.01 ,DL,0.32776942355889727,809,399,134.18,$130.49 ,DL,0.33629072681704264,724,-0.025339096735728154,-0.025339096735728168
1,"Denver, CO","Minneapolis/St. Paul, MN","['(39.738453', ' -104.984853)']","['(44.977479', ' -93.264346)']",680,137.97,$79.14 ,F9,0.2028970588235294,2259,680,139.44,$86.69 ,F9,0.20505882352941177,2162,-0.010542168674698845,-0.010542168674698787
2,"Louisville, KY","Tampa, FL (Metropolitan Area)","['(38.256078', ' -85.751569)']","['(37.8606', ' -78.804199)']",729,186.62,$184.85 ,WN,0.2559945130315501,314,727,201.2,$190.47 ,WN,0.27675378266850065,280,-0.07500988581542281,-0.07246520874751483
3,"San Antonio, TX","Seattle, WA","['(29.425173', ' -98.494599)']","['(47.603229', ' -122.33028)']",1774,237.28,$226.43 ,UA,0.1337542277339346,445,1774,225.83,$219.73 ,UA,0.12729988726042843,424,0.050701855377939004,0.05070185537793911
4,"Portland, ME","Washington, DC (Metropolitan Area)","['(45.516018', ' -122.681425)']","['(38.892062', ' -77.019912)']",493,188.65,$184.06 ,AA,0.382657200811359,523,493,197.32,$191.21 ,AA,0.4002434077079107,504,-0.04393877964727345,-0.043938779647273406
5,"Panama City, FL","Washington, DC (Metropolitan Area)","['(30.185159', ' -85.73078)']","['(38.892062', ' -77.019912)']",798,230.2,$197.19 ,WN,0.28847117794486216,238,798,232.07,$196.48 ,WN,0.29081453634085214,199,-0.008057913560563642,-0.008057913560563642
6,"Charlotte, NC","Cincinnati, OH","['(35.222936', ' -80.840161)']","['(39.104427', ' -84.513808)']",335,223.26,$204.72 ,DL,0.6664477611940298,275,335,234.95,$225.19 ,DL,0.7013432835820895,234,-0.04975526707810173,-0.04975526707810172
7,"Chicago, IL","San Diego, CA","['(41.775002', ' -87.696388)']","['(32.71576', ' -117.163817)']",1728,215.21,$103.83 ,NK,0.12454282407407408,2085,1728,214.17,$105.80 ,NK,0.12394097222222221,1926,0.0048559555493300965,0.004855955549330067
8,"Orlando, FL","Philadelphia, PA","['(28.538331', ' -81.378879)']","['(39.951061', ' -75.16562)']",861,160.11,$104.89 ,F9,0.1859581881533101,3152,861,138.36,$93.23 ,F9,0.16069686411149828,3271,0.15719861231569807,0.15719861231569815
9,"New Orleans, LA","San Antonio, TX","['(29.950621', ' -90.074948)']","['(29.425173', ' -98.494599)']",494,209.51,$202.48 ,WN,0.42410931174089067,240,494,213.76,$208.39 ,WN,0.4327125506072874,233,-0.01988211077844308,-0.019882110778443114
